destination,_beta_slope_OLS_low,_beta_slope_OLS_high,DFE_OLS_low,DFE_OLS_high
230,-3.7296963,-1.9056849,-2.5465364,-1.2707967
231,-3.7296963,-1.9056849,-2.332567,-1.0441457
232,-3.7296963,-1.9056849,-1.9000884,.45680854
233,-3.7296963,-1.9056849,.91574794,2.3712347
234,-3.7296963,-1.9056849,-2.6618738,-1.0586226
235,-3.7296963,-1.9056849,3.6006947,-2.0104043
236,-3.7296963,-1.9056849,-2.8561645,.68358862
237,-3.7296963,-1.9056849,2.9930282,.58506233
238,-3.7296963,-1.9056849,-1.2471921,-.71403515
239,-3.7296963,-1.9056849,-5.1775603,.41464961
240,-3.7296963,-1.9056849,.83213192,1.13819
241,-3.7296963,-1.9056849,-1.2505736,-.64000726
242,-3.7296963,-1.9056849,-2.9959652,-.45544702
243,-3.7296963,-1.9056849,-3.6439512,-.029601483
244,-3.7296963,-1.9056849,.10963435,-.091250382
245,-3.7296963,-1.9056849,1.5106884,-1.303363
246,-3.7296963,-1.9056849,-.63602239,-.76782686
247,-3.7296963,-1.9056849,-2.6364284,-.68816143
248,-3.7296963,-1.9056849,-1.7217181,-.057837248
249,-3.7296963,-1.9056849,-3.8261874,-.7255199
250,-3.7296963,-1.9056849,-2.422246,-.55369794
251,-3.7296963,-1.9056849,-5.5597878,.21624492
252,-3.7296963,-1.9056849,-.21859401,-1.0274289
253,-3.7296963,-1.9056849,-2.8994958,.2192274
254,-3.7296963,-1.9056849,-1.0002975,-1.7836173
255,-3.7296963,-1.9056849,-2.010191,-2.2314253
256,-3.7296963,-1.9056849,-1.9326888,.31300685
257,-3.7296963,-1.9056849,.19899027,.39212877
258,-3.7296963,-1.9056849,1.7650298,-1.0582501
259,-3.7296963,-1.9056849,-2.8112226,-4.0110927
260,-3.7296963,-1.9056849,-.021377124,.7645238
261,-3.7296963,-1.9056849,-.10989333,.73309302
262,-3.7296963,-1.9056849,-4.0967021,-.29095316
263,-3.7296963,-1.9056849,-2.2390776,-.19033705
264,-3.7296963,-1.9056849,.71392173,.68414968
265,-3.7296963,-1.9056849,-4.0626283,-.7565878
266,-3.7296963,-1.9056849,-3.3096411,-.6577034
267,-3.7296963,-1.9056849,.63385588,-.38418719
268,-3.7296963,-1.9056849,-2.644505,-.051743809
269,-3.7296963,-1.9056849,-4.0863986,-.4060421
270,-3.7296963,-1.9056849,-1.45233,-.035059262
271,-3.7296963,-1.9056849,-1.3379005,-1.0141451
272,-3.7296963,-1.9056849,.65572959,-.20091803
273,-3.7296963,-1.9056849,-2.6452799,2.0669951
274,-3.7296963,-1.9056849,-1.2387022,-.17451788
275,-3.7296963,-1.9056849,1.4537742,-.15817241
277,-3.7296963,-1.9056849,-2.9578016,-.41082028
278,-3.7296963,-1.9056849,-3.3997836,-.13328576
279,-3.7296963,-1.9056849,-2.3908639,2.0101538
280,-3.7296963,-1.9056849,-.32365552,3.0095575
281,-3.7296963,-1.9056849,-1.5605541,-1.9877564
282,-3.7296963,-1.9056849,-.43051434,-1.178954
283,-3.7296963,-1.9056849,-4.0907784,-1.2775511
284,-3.7296963,-1.9056849,-2.8233488,-.93768656
285,-3.7296963,-1.9056849,1.5089198,-.5216049
287,-3.7296963,-1.9056849,-.9827475,-.3706744
288,-3.7296963,-1.9056849,-2.1075084,.59715778
289,-3.7296963,-1.9056849,-5.8907681,.059493426
290,-3.7296963,-1.9056849,-3.428864,.41985255
291,-3.7296963,-1.9056849,-.15422422,.55727148
292,-3.7296963,-1.9056849,4.4150953,.3320556
293,-3.7296963,-1.9056849,-3.6039956,-1.4376606
294,-3.7296963,-1.9056849,1.3588678,-1.2830749
295,-3.7296963,-1.9056849,-.43712431,-2.3578048
296,-3.7296963,-1.9056849,-4.308147,-.53395641
297,-3.7296963,-1.9056849,-2.125232,-1.212387
298,-3.7296963,-1.9056849,.55164444,-.7821992
299,-3.7296963,-1.9056849,-1.2944785,-.21564296
300,-3.7296963,-1.9056849,-1.1157893,1.0866048
301,-3.7296963,-1.9056849,-2.6657913,.081491657
302,-3.7296963,-1.9056849,.74233472,-1.2421385
303,-3.7296963,-1.9056849,-4.0268669,.2166529
304,-3.7296963,-1.9056849,-2.5514574,-.73131579
305,-3.7296963,-1.9056849,-3.1803696,-.30214956
306,-3.7296963,-1.9056849,.28250846,.90796018
307,-3.7296963,-1.9056849,-6.4717164,-4.6168084
308,-3.7296963,-1.9056849,-4.8675795,-3.2725437
309,-3.7296963,-1.9056849,-1.9211923,.65213341
310,-3.7296963,-1.9056849,-3.1399853,-.81321961
311,-3.7296963,-1.9056849,-.11761341,.27913329
312,-3.7296963,-1.9056849,-2.3599114,-.16646388
313,-3.7296963,-1.9056849,-3.816982,-.089117423
314,-3.7296963,-1.9056849,1.1435555,-.55444628
315,-3.7296963,-1.9056849,-3.1365826,.10665493
316,-3.7296963,-1.9056849,.59632194,-.0049619316
317,-3.7296963,-1.9056849,-2.3664865,-.71468997
318,-3.7296963,-1.9056849,-.60441709,-2.7910852
319,-3.7296963,-1.9056849,-5.6664796,-.44144461
320,-3.7296963,-1.9056849,-.22922422,-2.4217033
321,-3.7296963,-1.9056849,-4.3465219,-.21513444
322,-3.7296963,-1.9056849,1.0843728,-1.5512792
323,-3.7296963,-1.9056849,-3.0216951,-.3764154
324,-3.7296963,-1.9056849,-2.4516056,-.50901771
325,-3.7296963,-1.9056849,-.37279895,-1.6028216
326,-3.7296963,-1.9056849,2.0809596,-1.2221287
327,-3.7296963,-1.9056849,1.6489356,-1.8309133
328,-3.7296963,-1.9056849,-1.5259186,-1.2741219
329,-3.7296963,-1.9056849,.63509887,.54592836
330,-3.7296963,-1.9056849,2.6178117,-1.0664886
331,-3.7296963,-1.9056849,-3.4414222,.0017029343
333,-3.7296963,-1.9056849,-1.3735024,.75868589
334,-3.7296963,-1.9056849,-1.3676538,.70894659
335,-3.7296963,-1.9056849,.44089672,-.75137866
336,-3.7296963,-1.9056849,3.0781884,-1.344014
337,-3.7296963,-1.9056849,-.25157455,-1.1904572
338,-3.7296963,-1.9056849,.55367947,-1.1385616
339,-3.7296963,-1.9056849,-4.7788978,-2.9808617
340,-3.7296963,-1.9056849,-1.7452272,-.018359028
341,-3.7296963,-1.9056849,-1.7935908,-.54918271
343,-3.7296963,-1.9056849,-1.8055434,-2.4147575
344,-3.7296963,-1.9056849,-.085543327,-1.1767362
345,-3.7296963,-1.9056849,1.4304339,.4265359
346,-3.7296963,-1.9056849,-2.3653708,.25241998
347,-3.7296963,-1.9056849,-1.5537748,-1.3507394
348,-3.7296963,-1.9056849,-1.1094035,-2.0389915
349,-3.7296963,-1.9056849,-4.0722213,.12334467
351,-3.7296963,-1.9056849,-2.5608969,-.52661163
352,-3.7296963,-1.9056849,-3.7503328,-.784702
353,-3.7296963,-1.9056849,-.35854307,-1.4909772
354,-3.7296963,-1.9056849,-1.5260974,-.99759787
355,-3.7296963,-1.9056849,-.1826217,-1.0341976
356,-3.7296963,-1.9056849,1.7514366,-1.0571581
357,-3.7296963,-1.9056849,-4.8086329,-1.1100473
358,-3.7296963,-1.9056849,-1.0745633,.76265943
359,-3.7296963,-1.9056849,-1.3913763,-1.9351903
360,-3.7296963,-1.9056849,-2.7916083,-.53003651
362,-3.7296963,-1.9056849,-3.1015146,-.86346805
363,-3.7296963,-1.9056849,-2.8730347,.055252865
364,-3.7296963,-1.9056849,-1.5212502,-.2750257
365,-3.7296963,-1.9056849,-1.5907756,-1.3700241
366,-3.7296963,-1.9056849,-2.2106111,.37300387
367,-3.7296963,-1.9056849,-1.0218418,-1.8491226
368,-3.7296963,-1.9056849,-1.3243108,-1.8429499
369,-3.7296963,-1.9056849,-4.5044665,-.749376
370,-3.7296963,-1.9056849,-2.9225662,-1.7237804
371,-3.7296963,-1.9056849,-5.467731,-1.4997211
372,-3.7296963,-1.9056849,3.7513306,-1.0301107
373,-3.7296963,-1.9056849,-2.4149036,.019399872
374,-3.7296963,-1.9056849,-.92859399,-2.9140222
375,-3.7296963,-1.9056849,-3.1682727,-.14463867
376,-3.7296963,-1.9056849,-1.0733255,-2.2074394
377,-3.7296963,-1.9056849,-2.8797712,-1.6177278
378,-3.7296963,-1.9056849,-2.1106405,-.79634947
379,-3.7296963,-1.9056849,-1.3851507,-.87372804
380,-3.7296963,-1.9056849,-1.6332814,-3.187206
381,-3.7296963,-1.9056849,-1.1040785,-.81120461
382,-3.7296963,-1.9056849,-4.4288101,1.0147829
383,-3.7296963,-1.9056849,-.57915866,.85695636
384,-3.7296963,-1.9056849,-3.617784,.70874774
385,-3.7296963,-1.9056849,-5.1456585,-.81874722
386,-3.7296963,-1.9056849,-2.3252881,-.14859684
387,-3.7296963,-1.9056849,-2.5598111,-.29800251
388,-3.7296963,-1.9056849,.48162407,-1.4044209
389,-3.7296963,-1.9056849,-2.5451007,1.3833566
390,-3.7296963,-1.9056849,-1.1968175,-.90195519
391,-3.7296963,-1.9056849,-1.7014127,.19708228
392,-3.7296963,-1.9056849,-.98110801,-.79286808
393,-3.7296963,-1.9056849,.35771954,.83118093
394,-3.7296963,-1.9056849,-3.3330305,.072813921
395,-3.7296963,-1.9056849,-1.321406,-.8466894
396,-3.7296963,-1.9056849,-.76079774,-.51742244
397,-3.7296963,-1.9056849,-1.4315733,.56326532
398,-3.7296963,-1.9056849,1.2469945,-1.5666883
399,-3.7296963,-1.9056849,-4.4101014,-.43433759
400,-3.7296963,-1.9056849,-4.5547853,-1.5500261
401,-3.7296963,-1.9056849,-2.6475215,-.49771193
402,-3.7296963,-1.9056849,-3.1217239,-2.6423707
403,-3.7296963,-1.9056849,-2.1413074,.53356701
404,-3.7296963,-1.9056849,-4.2742124,-.46011981
405,-3.7296963,-1.9056849,-1.8518745,-5.4672637
406,-3.7296963,-1.9056849,2.4358561,-1.241521
407,-3.7296963,-1.9056849,-1.1714137,-.25775284
409,-3.7296963,-1.9056849,-.19988573,.17554358
410,-3.7296963,-1.9056849,-2.4900384,-.3943468
411,-3.7296963,-1.9056849,.33981824,1.3077418
412,-3.7296963,-1.9056849,-3.7717674,.61820418
413,-3.7296963,-1.9056849,-2.1377509,-.56627011
414,-3.7296963,-1.9056849,-2.0497079,1.7806545
415,-3.7296963,-1.9056849,-12.427788,-.32090914
416,-3.7296963,-1.9056849,-1.8110772,-1.1139483
418,-3.7296963,-1.9056849,.24862465,1.6383557
419,-3.7296963,-1.9056849,-4.4122291,.0064568175
420,-3.7296963,-1.9056849,-4.5842853,-2.0020347
421,-3.7296963,-1.9056849,-2.3163538,-.72515941
422,-3.7296963,-1.9056849,-2.2569954,-.12585644
423,-3.7296963,-1.9056849,-4.2636013,-.86264879
424,-3.7296963,-1.9056849,-2.8812468,1.1594583
425,-3.7296963,-1.9056849,-2.4940093,-.73628157
426,-3.7296963,-1.9056849,-2.7994533,-.060437348
427,-3.7296963,-1.9056849,-.62562633,-.97667909
428,-3.7296963,-1.9056849,-4.9171224,2.2237449
429,-3.7296963,-1.9056849,-3.3420811,1.1432146
430,-3.7296963,-1.9056849,-2.1717966,-.27678418
431,-3.7296963,-1.9056849,-4.2546134,.37130761
432,-3.7296963,-1.9056849,.45128107,1.2257854
433,-3.7296963,-1.9056849,-2.1501827,-.85662168
434,-3.7296963,-1.9056849,-3.9800878,.45649576
435,-3.7296963,-1.9056849,-1.7064232,1.3742986
436,-3.7296963,-1.9056849,-4.0252018,.47772244
437,-3.7296963,-1.9056849,-3.341466,1.1056826
438,-3.7296963,-1.9056849,-1.9003899,1.6275761
439,-3.7296963,-1.9056849,-5.6809282,-1.4149803
440,-3.7296963,-1.9056849,-3.1960757,-1.152593
441,-3.7296963,-1.9056849,-5.773037,-.76441759
442,-3.7296963,-1.9056849,-4.0672421,-.71186316
443,-3.7296963,-1.9056849,-3.3170974,.14029719
444,-3.7296963,-1.9056849,-1.9334946,.86510807
445,-3.7296963,-1.9056849,-1.4629242,2.1291401
446,-3.7296963,-1.9056849,-4.1038566,-1.2185841
447,-3.7296963,-1.9056849,-4.6689129,.41110992
448,-3.7296963,-1.9056849,-3.7633395,-.16559777
449,-3.7296963,-1.9056849,-4.6048617,.35453323
450,-3.7296963,-1.9056849,-3.4682055,-.88765275
451,-3.7296963,-1.9056849,-1.8432785,.76229799
452,-3.7296963,-1.9056849,-4.6008463,2.3747752
453,-3.7296963,-1.9056849,-3.2186849,.54298878
454,-3.7296963,-1.9056849,-7.2513309,.44069833
455,-3.7296963,-1.9056849,-1.5705111,.82272726
457,-3.7296963,-1.9056849,-4.2450371,-.32251251
458,-3.7296963,-1.9056849,-4.48735,-1.2226423
459,-3.7296963,-1.9056849,-5.5658698,-4.0197721
460,-3.7296963,-1.9056849,-3.7187154,-.67735142
461,-3.7296963,-1.9056849,-3.4640365,-1.1888611
462,-3.7296963,-1.9056849,-3.0937467,.78963023
463,-3.7296963,-1.9056849,-2.4997175,1.0205094
464,-3.7296963,-1.9056849,-3.3450685,.32757026
465,-3.7296963,-1.9056849,-2.54462,-.41394541
466,-3.7296963,-1.9056849,-1.3430274,1.4426179
467,-3.7296963,-1.9056849,-6.3326683,-.78660756
468,-3.7296963,-1.9056849,-4.4566197,.32435182
469,-3.7296963,-1.9056849,-10.299981,-4.1081576
470,-3.7296963,-1.9056849,-4.9881697,-.79722315
471,-3.7296963,-1.9056849,-3.323997,-.094250806
472,-3.7296963,-1.9056849,-3.354856,1.5677872
473,-3.7296963,-1.9056849,-5.3340483,-.77260166
474,-3.7296963,-1.9056849,-4.0363669,-1.9609103
475,-3.7296963,-1.9056849,-4.2087917,-2.1134884
476,-3.7296963,-1.9056849,-4.1623363,-2.1254485
478,-3.7296963,-1.9056849,-4.9187169,-2.6647344
479,-3.7296963,-1.9056849,-5.531527,-2.0966489
480,-3.7296963,-1.9056849,-2.5727272,.60107911
481,-3.7296963,-1.9056849,-5.2284174,.29941681
482,-3.7296963,-1.9056849,-3.2451515,.044958491
483,-3.7296963,-1.9056849,4.6013069,-2.5055315
484,-3.7296963,-1.9056849,-2.7219687,-9.4163103
