destination,DFE,_beta_log_dur
151,1.328249950186701,-2.1922336
152,-.675304956029204,-2.1922336
153,.5687661802345677,-2.1922336
154,.5033635481676839,-2.1922336
155,.9588082518217549,-2.1922336
156,.7971697191686911,-2.1922336
157,-.3515375753397709,-2.1922336
158,1.18806270159261,-2.1922336
159,.3603430913777618,-2.1922336
160,-1.667715128285504,-2.1922336
161,-1.067188365008529,-2.1922336
162,-.5934934006628797,-2.1922336
163,.9426061094439219,-2.1922336
164,.3082653158469301,-2.1922336
165,.0392177140910173,-2.1922336
166,.6067926795869302,-2.1922336
168,.4281566458420831,-2.1922336
170,-.9663535445134961,-2.1922336
171,.9410996558698504,-2.1922336
172,.0351898835551354,-2.1922336
173,1.211886938651112,-2.1922336
174,-2.88388164611814,-2.1922336
175,-.3558132043757076,-2.1922336
176,.583926592594992,-2.1922336
177,-3.196575929976986,-2.1922336
178,-2.340427749819531,-2.1922336
179,.1715254029359896,-2.1922336
180,1.342615053285808,-2.1922336
181,-.4423581769582289,-2.1922336
182,.2148142939238389,-2.1922336
183,.1032508533773127,-2.1922336
184,-1.523564469316752,-2.1922336
185,-.6932749685668336,-2.1922336
186,-1.241276616362915,-2.1922336
187,-.0925740536657667,-2.1922336
188,-3.233831777202868,-2.1922336
189,.4882056174919631,-2.1922336
190,.0680780871801784,-2.1922336
191,.3187796242531145,-2.1922336
192,-.1150517407907807,-2.1922336
193,.6807098715987988,-2.1922336
194,-2.962067617642127,-2.1922336
195,.743626246471995,-2.1922336
196,-1.304679476972957,-2.1922336
197,-.1072764005583428,-2.1922336
198,.0991864725699862,-2.1922336
199,.4832980312223706,-2.1922336
200,-.8919026147215033,-2.1922336
201,-.9179658424347854,-2.1922336
202,1.401798247354509,-2.1922336
203,.6030468824183498,-2.1922336
204,.6267076578770552,-2.1922336
205,-.8823860318697145,-2.1922336
206,-1.141951785581012,-2.1922336
207,-.8307054992351075,-2.1922336
208,.967627417764194,-2.1922336
209,-.0195263014686109,-2.1922336
210,-4.472481640866245,-2.1922336
211,-1.076205349442126,-2.1922336
212,-3.343121449673074,-2.1922336
213,.6287708918716222,-2.1922336
214,-.3914821434740094,-2.1922336
215,-.2619073706991327,-2.1922336
216,-1.311584228006566,-2.1922336
217,-.0578474608087376,-2.1922336
218,.8989170850443385,-2.1922336
219,-.9482945901401429,-2.1922336
220,-.1417693487451094,-2.1922336
222,-.9510910831327389,-2.1922336
223,.961115476647353,-2.1922336
224,-.2313796694149458,-2.1922336
225,.2730204660369995,-2.1922336
226,-.0977339656453078,-2.1922336
227,.7882503142910986,-2.1922336
228,-1.600111977694674,-2.1922336
229,-.2127764319642025,-2.1922336
230,-.841651307586833,-2.1922336
231,-.5653533737517333,-2.1922336
232,.2175158143204999,-2.1922336
233,-.4727231665875116,-2.1922336
234,-2.507981522166957,-2.1922336
235,-.413245578434897,-2.1922336
236,-.1463824482763016,-2.1922336
237,-.0592645000866193,-2.1922336
238,-.7468460116507,-2.1922336
239,.8310031658016568,-2.1922336
240,-.1173170935616916,-2.1922336
241,.0852844753553615,-2.1922336
242,-.4926578822879957,-2.1922336
243,.5786219738792633,-2.1922336
244,-1.065433676679543,-2.1922336
245,-.3923366635569057,-2.1922336
246,1.246318268037559,-2.1922336
247,.0477349762157545,-2.1922336
248,1.332303179610415,-2.1922336
249,-1.021377895902873,-2.1922336
250,-1.767921612488054,-2.1922336
251,-1.838671252003312,-2.1922336
252,.5713713175070889,-2.1922336
253,-1.665516687731856,-2.1922336
254,1.136941985964054,-2.1922336
255,-.6991635173410311,-2.1922336
257,-1.192157962404506,-2.1922336
258,-.2070035219842979,-2.1922336
261,.5389788547363455,-2.1922336
262,.5026690862364455,-2.1922336
263,-2.452297693742936,-2.1922336
264,-6.080972677189584,-2.1922336
265,-.3566571740490289,-2.1922336
266,-3.076712173807852,-2.1922336
267,-.8071268953588835,-2.1922336
268,-2.48948588362673,-2.1922336
269,-1.006672527989697,-2.1922336
270,-2.104410069217329,-2.1922336
271,-.2718393598064652,-2.1922336
272,-2.732237532786871,-2.1922336
273,-.3307453755656556,-2.1922336
274,-.220494754592785,-2.1922336
275,-.6654200614380106,-2.1922336
276,-4.105435644642095,-2.1922336
277,.229504546722843,-2.1922336
278,-.0675762816694056,-2.1922336
279,-.1753141901083861,-2.1922336
280,-1.085385409616343,-2.1922336
281,.562038876363023,-2.1922336
282,-1.328550202068069,-2.1922336
283,-.2438353305570713,-2.1922336
284,-.4769839393052856,-2.1922336
285,.791783901468215,-2.1922336
288,-2.881921292161152,-2.1922336
289,.6831524909629221,-2.1922336
291,.2781920066787036,-2.1922336
292,.1092929657374877,-2.1922336
293,-1.142478900467212,-2.1922336
294,.6917816530728867,-2.1922336
295,-1.135704690460249,-2.1922336
296,-1.351968805125981,-2.1922336
297,-.9866441242322919,-2.1922336
298,-.3831575154535844,-2.1922336
299,-.3327978349481122,-2.1922336
300,-4.362313375821192,-2.1922336
301,.3840556046134497,-2.1922336
303,-2.593355108392636,-2.1922336
305,-.4840861612177221,-2.1922336
306,-2.486294308013649,-2.1922336
307,-1.837206763384835,-2.1922336
308,-1.951874420174428,-2.1922336
