destination,DFE,_beta_log_dur
191,-.8167839025725467,-2.4420147
192,.0797332811898025,-2.4420147
193,-.8973850788983078,-2.4420147
194,-.3024934397793483,-2.4420147
195,1.636641023219494,-2.4420147
196,1.006588334981092,-2.4420147
197,-.3964200617064403,-2.4420147
198,-1.468704645939098,-2.4420147
199,-.775098141654444,-2.4420147
200,-.9433957329227896,-2.4420147
201,-.0403075076137771,-2.4420147
202,-.5548186866001701,-2.4420147
203,.9623098302502519,-2.4420147
204,-1.445130285847177,-2.4420147
205,-1.923807661998355,-2.4420147
206,-1.401380299373562,-2.4420147
207,-1.20803635286491,-2.4420147
208,-1.638768424375722,-2.4420147
209,-.6036418752800859,-2.4420147
210,.0841177098493006,-2.4420147
211,-1.817874986057416,-2.4420147
212,-.2515285607828582,-2.4420147
213,-.4116086489736874,-2.4420147
214,-1.841488572464718,-2.4420147
215,-.6709432490096614,-2.4420147
216,-1.564514585990259,-2.4420147
217,-.6011032379012279,-2.4420147
218,-.026174765272063,-2.4420147
219,1.240687466837641,-2.4420147
220,-1.641404604659167,-2.4420147
221,-1.07924782383907,-2.4420147
222,.7101678716909559,-2.4420147
223,-.5141798657042109,-2.4420147
224,.5846033952351511,-2.4420147
225,-1.16324164817649,-2.4420147
226,-.7774247235168777,-2.4420147
227,-.7248962151988008,-2.4420147
228,.8810134728179041,-2.4420147
229,.4436854021468546,-2.4420147
230,-1.566122319435505,-2.4420147
231,-1.386334453793871,-2.4420147
232,-.1343065565689374,-2.4420147
233,2.094393652066324,-2.4420147
234,-1.465744419837071,-2.4420147
235,.1509500456699133,-2.4420147
236,-.2491092623676606,-2.4420147
237,1.481209694029682,-2.4420147
238,-.8260778375007993,-2.4420147
239,-1.083684568490751,-2.4420147
240,1.145779785489908,-2.4420147
241,-.7878025704149972,-2.4420147
242,-1.14170650749504,-2.4420147
243,-.9970163435616403,-2.4420147
244,.1284132348679648,-2.4420147
245,-.049411587760642,-2.4420147
246,-.6315809448788701,-2.4420147
247,-1.181418804523861,-2.4420147
248,-.530942198694306,-2.4420147
249,-1.563304875299401,-2.4420147
250,-1.04099071800506,-2.4420147
251,-1.303059609410505,-2.4420147
252,-.7694202309029542,-2.4420147
