destination,DFE_MLE_low,DFE_MLE_high,_beta_slope_low,_beta_slope_high
100,-3.8261788,1.8370644,-3.1965547,-2.1051624
101,-4.8920193,1.2613006,-3.1965547,-2.1051624
102,2.1491234,-1.4469954,-3.1965547,-2.1051624
103,-7.3858013,-2.0543399,-3.1965547,-2.1051624
104,-.5734669,.67092407,-3.1965547,-2.1051624
105,-6.9960546,-.45279208,-3.1965547,-2.1051624
106,-9.1564903,-.70071876,-3.1965547,-2.1051624
107,-5.2512221,1.6578808,-3.1965547,-2.1051624
108,-3.3228767,1.9253066,-3.1965547,-2.1051624
109,-11.644059,-.44150677,-3.1965547,-2.1051624
110,-5.5098996,1.096944,-3.1965547,-2.1051624
111,-7.1783471,1.0447029,-3.1965547,-2.1051624
112,-8.2368431,.16503446,-3.1965547,-2.1051624
113,-6.6949835,-1.1287386,-3.1965547,-2.1051624
114,-3.4415233,2.2145607,-3.1965547,-2.1051624
115,-1.7956363,-1.0788404,-3.1965547,-2.1051624
116,-4.071074,1.5113846,-3.1965547,-2.1051624
117,-5.229084,-1.4210176,-3.1965547,-2.1051624
118,-7.9462919,-.80933541,-3.1965547,-2.1051624
119,.53589594,1.0543427,-3.1965547,-2.1051624
122,-12.742797,-.51577795,-3.1965547,-2.1051624
123,-5.0368934,1.0831096,-3.1965547,-2.1051624
124,-4.3369141,1.3932368,-3.1965547,-2.1051624
125,-9.5064478,.86883473,-3.1965547,-2.1051624
126,-5.0103154,1.4211529,-3.1965547,-2.1051624
127,-3.763428,.81628525,-3.1965547,-2.1051624
128,-3.3511469,-.029718272,-3.1965547,-2.1051624
129,-9.4547567,-2.6399922,-3.1965547,-2.1051624
130,-4.6606841,.67082697,-3.1965547,-2.1051624
131,-4.618609,1.4985405,-3.1965547,-2.1051624
133,.43928811,1.3132298,-3.1965547,-2.1051624
134,-9.4720049,-1.9503633,-3.1965547,-2.1051624
135,-3.5687568,1.1916529,-3.1965547,-2.1051624
136,-10.001907,-1.6788921,-3.1965547,-2.1051624
137,-6.2587447,1.7031333,-3.1965547,-2.1051624
138,-6.089746,.47483864,-3.1965547,-2.1051624
139,.020456692,.66193563,-3.1965547,-2.1051624
140,-2.5428588,-.41301051,-3.1965547,-2.1051624
141,-9.4310656,-.090001374,-3.1965547,-2.1051624
143,-11.133739,-3.7857702,-3.1965547,-2.1051624
144,-12.074069,-1.7861317,-3.1965547,-2.1051624
145,2.8678319,1.3327179,-3.1965547,-2.1051624
146,-.91196221,.10803914,-3.1965547,-2.1051624
147,-4.9606557,-.68326032,-3.1965547,-2.1051624
148,1.4744508,.69457304,-3.1965547,-2.1051624
149,-3.4307365,-.75710934,-3.1965547,-2.1051624
150,-3.6013021,1.2361662,-3.1965547,-2.1051624
151,-4.1212411,1.9588978,-3.1965547,-2.1051624
152,-3.7153718,-.037168097,-3.1965547,-2.1051624
153,2.1227605,.78788358,-3.1965547,-2.1051624
154,2.3824124,.46365556,-3.1965547,-2.1051624
155,2.7116072,1.0308228,-3.1965547,-2.1051624
156,-3.7738783,1.407168,-3.1965547,-2.1051624
157,-4.4433184,.29106501,-3.1965547,-2.1051624
158,3.1257546,1.0308694,-3.1965547,-2.1051624
159,-6.0465469,.99803257,-3.1965547,-2.1051624
160,-4.1239824,-.97583747,-3.1965547,-2.1051624
161,-8.3402491,-.41736481,-3.1965547,-2.1051624
162,1.1702421,-.55924475,-3.1965547,-2.1051624
163,-3.4377403,1.553678,-3.1965547,-2.1051624
164,-4.8375297,.9526425,-3.1965547,-2.1051624
165,.081859656,.66017735,-3.1965547,-2.1051624
166,-5.954329,1.2456223,-3.1965547,-2.1051624
168,2.0548694,.52781773,-3.1965547,-2.1051624
170,-9.6108103,-.32810655,-3.1965547,-2.1051624
171,1.8671296,1.3614067,-3.1965547,-2.1051624
172,1.8707703,-.079482853,-3.1965547,-2.1051624
173,-3.5525608,1.8227478,-3.1965547,-2.1051624
174,-5.2710824,-2.2758,-3.1965547,-2.1051624
175,-4.0464587,.26047105,-3.1965547,-2.1051624
176,-4.7845693,1.2205662,-3.1965547,-2.1051624
177,-4.2802467,-2.5857031,-3.1965547,-2.1051624
178,-4.533474,-1.7430571,-3.1965547,-2.1051624
179,.061423626,.75762343,-3.1965547,-2.1051624
180,-1.3796686,1.9453759,-3.1965547,-2.1051624
181,1.3278869,-.52068287,-3.1965547,-2.1051624
182,-5.3665986,.85210049,-3.1965547,-2.1051624
183,-4.882803,.74261785,-3.1965547,-2.1051624
184,-11.015399,-.88205779,-3.1965547,-2.1051624
185,-7.2967262,-.055108175,-3.1965547,-2.1051624
186,-7.842361,-.59909695,-3.1965547,-2.1051624
187,-8.578783,.55092394,-3.1965547,-2.1051624
