destination,DFE_logvol
1123,.3707859894808918
1128,.2623421173307032
1143,-.3001954556925868
1145,.1184322153206121
1184,-.0710708803383582
1191,-.0837347335853742
1194,-.0819116147819944
1218,-.1488465484056668
1269,-.0911058045854007
1304,-.085806720472997
1377,-.0471189842672172
1402,.3291502198707618
1412,.2901567099441911
1436,.0180288335961493
1457,-.4089805909338661
1463,.0385035678451009
1491,.4146125932662831
112,-.1263977179974509
145,.4690738024701315
148,.10915629481153
216,-.4161894223326982
236,-.098040288391212
257,-.3960146910831912
316,-.1363118498625236
367,-.7418760702727613
412,.027570487414646
452,-.2470265419281212
511,.1364927893370988
625,-.4320909296379389
687,-.2859960417225024
746,.2287740755417273
760,-.5285250473434706
820,-.286266613073787
858,-.8017559573145223
867,-.4312449627583217
954,-.1022497041871313
957,-.2651368262361045
1050,-.5854492878099211
1085,-.065271994040663
1125,.4649133171947178
1127,-.3661965416220156
1188,.4489776165922776
1397,-.1184218831428879
1423,.1921227197187246
131,.3074255353316285
172,.0160309554090262
181,-.1062963336796757
232,-.03606036858755
238,-.2872330857318596
240,-.0718178411728393
270,-.6660124053336931
312,.0067804422907395
314,-.0038246739263912
319,-.4737145603623634
344,-.346980543538695
365,-.4588809881095781
381,-.3568022466465954
406,.3697856901663324
413,-.5685185016986216
414,-.1644276813852426
443,-.5192869025062691
490,-.2909296797486541
515,-.2331165078351616
516,-.2203408127956304
575,.108472226200892
576,-.533134070776584
580,.5675117283931502
588,.1947017610084208
619,.0647443460759668
622,-.3820449277714053
653,-.1042790299809489
665,-.3713447067587618
666,-.4884250113563494
689,-.0167334853772052
751,-.3199296154926338
794,-.2137047185794541
811,.0800569953344945
863,-.3610084916380675
865,-.3155639353299596
868,.3728838296052444
952,-.3606924139740475
973,-.0330196790816188
1004,-.4606839152084789
1014,-.3212037488086202
1016,-.2580727258488005
1033,.1170282657600361
1043,-.2737499932670956
1086,-.9380438377153087
1110,.0267996961351119
1134,.1057240430661195
1175,-.1502643537698352
1182,.0265385164665733
1201,.4017347792809196
1233,-.0834164320121385
1242,.2580826014505389
1260,.1646072428819181
1390,-.1886743740078287
1419,-.110821149633188
1442,.5851989522229197
1460,.089250078892748
1475,-.0386095850026062
1494,.3155363713035685
1495,-.0190135578507804
